epoch,step,train_loss_epoch,train_loss_step
0,49,,0.5011699199676514
0,55,0.9461924433708191,
1,99,,0.63966304063797
1,111,0.7053195834159851,
2,149,,0.8031210899353027
2,167,0.6456146240234375,
3,199,,0.4922858774662018
3,223,0.603855550289154,
4,249,,0.8962553143501282
4,279,0.5974220037460327,
5,299,,0.7852122187614441
5,335,0.5875331163406372,
6,349,,0.9420293569564819
6,391,0.5888007283210754,
7,399,,0.6600097417831421
7,447,0.5706700682640076,
8,449,,0.4058951437473297
8,499,,0.4600222706794739
8,503,0.5782344937324524,
9,549,,0.8128799200057983
9,559,0.565741240978241,
