epoch,step,train_loss_epoch,train_loss_step
0,49,,0.464002788066864
0,55,0.8808279633522034,
1,99,,0.9527648687362671
1,111,0.6550505757331848,
2,149,,0.5371201634407043
2,167,0.6086879968643188,
3,199,,0.6357207298278809
3,223,0.6045829057693481,
4,249,,0.288543701171875
4,279,0.5914897918701172,
5,299,,0.4162987172603607
5,335,0.5762706995010376,
6,349,,0.39826369285583496
6,391,0.5592261552810669,
7,399,,0.4725574553012848
7,447,0.568960964679718,
8,449,,0.5950708985328674
8,499,,0.6074269413948059
8,503,0.5614332556724548,
9,549,,0.5023848414421082
9,559,0.55118727684021,
