epoch,step,train_loss_epoch,train_loss_step
0,49,,1.3589421510696411
0,55,1.0779669284820557,
1,99,,1.4297831058502197
1,111,1.001259684562683,
2,149,,0.8612249493598938
2,167,0.8525028824806213,
3,199,,1.1335004568099976
3,223,0.7285884618759155,
4,249,,0.5913981199264526
4,279,0.6904296875,
5,299,,0.3942602574825287
5,335,0.6349965929985046,
6,349,,0.5688867568969727
6,391,0.6152340173721313,
7,399,,0.5425556302070618
7,447,0.5965117812156677,
8,449,,1.0960216522216797
8,499,,0.46438565850257874
8,503,0.5922341346740723,
9,549,,0.43362998962402344
9,559,0.5840852856636047,
