epoch,step,train_loss_epoch,train_loss_step
0,49,,0.9385261535644531
0,55,1.0031298398971558,
1,99,,0.4553843140602112
1,111,0.6841633915901184,
2,149,,0.3970865309238434
2,167,0.5991072654724121,
3,199,,0.45416632294654846
3,223,0.6102714538574219,
4,249,,0.7419279217720032
4,279,0.5807321667671204,
5,299,,1.0390636920928955
5,335,0.5855920910835266,
6,349,,0.6871379017829895
6,391,0.5787363052368164,
7,399,,0.3950785994529724
7,447,0.5764657258987427,
8,449,,0.45608052611351013
8,499,,0.722444474697113
8,503,0.5753727555274963,
9,549,,0.3596040904521942
9,559,0.5726550221443176,
