epoch,step,train_loss_epoch,train_loss_step
0,49,,0.643663763999939
0,55,1.0551847219467163,
1,99,,0.4985752999782562
1,111,0.70819091796875,
2,149,,0.3115151524543762
2,167,0.6272707581520081,
3,199,,0.4500525891780853
3,223,0.6064522862434387,
4,249,,0.5441543459892273
4,279,0.5814177393913269,
5,299,,0.5391347408294678
5,335,0.5796151161193848,
6,349,,0.8122251629829407
6,391,0.5679969191551208,
7,399,,0.40427112579345703
7,447,0.5720210671424866,
8,449,,0.716977059841156
8,499,,0.517281711101532
8,503,0.571995198726654,
9,549,,0.6420671343803406
9,559,0.5542198419570923,
