epoch,step,train_loss_epoch,train_loss_step
0,49,,0.512481689453125
0,55,0.8824374079704285,
1,99,,0.5729225873947144
1,111,0.6393432021141052,
2,149,,0.40335550904273987
2,167,0.6006627678871155,
3,199,,1.080309271812439
3,223,0.591180682182312,
4,249,,0.5116949677467346
4,279,0.5769871473312378,
5,299,,0.6256168484687805
5,335,0.593305766582489,
6,349,,0.27951160073280334
6,391,0.5722683072090149,
7,399,,0.4414485991001129
7,447,0.5593035817146301,
8,449,,0.4774065911769867
8,499,,0.47946351766586304
8,503,0.5605209469795227,
9,549,,0.5775086283683777
9,559,0.5616046786308289,
