epoch,step,train_loss_epoch,train_loss_step
0,49,,0.8427906036376953
0,55,1.0406934022903442,
1,99,,0.5009692907333374
1,111,0.7528358101844788,
2,149,,0.32236021757125854
2,167,0.6174035668373108,
3,199,,0.7490645051002502
3,223,0.5877130627632141,
4,249,,0.6620755195617676
4,279,0.6064132452011108,
5,299,,0.7166740298271179
5,335,0.5988541841506958,
6,349,,0.7037985324859619
6,391,0.5722313523292542,
7,399,,0.7564963102340698
7,447,0.5625919699668884,
8,449,,0.36091846227645874
8,499,,1.0910358428955078
8,503,0.5605760812759399,
9,549,,0.5672791004180908
9,559,0.5506995916366577,
