epoch,step,train_loss_epoch,train_loss_step
0,49,,0.759299099445343
0,55,0.9588679075241089,
1,99,,0.6618965268135071
1,111,0.6693263649940491,
2,149,,0.5396655797958374
2,167,0.6179270148277283,
3,199,,1.1723984479904175
3,223,0.5913719534873962,
4,249,,0.4228271543979645
4,279,0.5908471941947937,
5,299,,0.5104199647903442
5,335,0.5874066352844238,
6,349,,0.9674887657165527
6,391,0.5792959928512573,
7,399,,0.41654616594314575
7,447,0.571394145488739,
8,449,,1.1327356100082397
8,499,,0.45257681608200073
8,503,0.5768182873725891,
9,549,,0.30055317282676697
9,559,0.561726450920105,
