epoch,step,train_loss_epoch,train_loss_step
0,49,,0.3392670452594757
0,55,0.9116443991661072,
1,99,,0.3554520010948181
1,111,0.6522456407546997,
2,149,,0.44464388489723206
2,167,0.614721953868866,
3,199,,0.7459083199501038
3,223,0.596955418586731,
4,249,,0.3308866620063782
4,279,0.6206730604171753,
5,299,,0.47281304001808167
5,335,0.585628092288971,
6,349,,0.43804922699928284
6,391,0.5756335854530334,
7,399,,0.40268808603286743
7,447,0.5633286833763123,
8,449,,0.622183084487915
8,499,,0.5587866902351379
8,503,0.5573767423629761,
9,549,,0.5527579188346863
9,559,0.5510391592979431,
