epoch,step,train_loss_epoch,train_loss_step
0,49,,0.09640724956989288
0,55,0.12797696888446808,
1,99,,0.07621905952692032
1,111,0.08579953014850616,
2,149,,0.11295787245035172
2,167,0.08072852343320847,
3,199,,0.07901151478290558
3,223,0.07720769941806793,
4,249,,0.07418274879455566
4,279,0.07502522319555283,
5,299,,0.08806932717561722
5,335,0.0768081396818161,
6,349,,0.0766419768333435
6,391,0.07564998418092728,
7,399,,0.07582506537437439
7,447,0.075576052069664,
8,449,,0.05862013250589371
8,499,,0.08444919437170029
8,503,0.07455497235059738,
9,549,,0.07685123383998871
9,559,0.07520536333322525,
