epoch,step,train_loss_epoch,train_loss_step
0,49,,0.9151788949966431
0,55,0.9141501784324646,
1,99,,0.3861364722251892
1,111,0.6698447465896606,
2,149,,0.4211951196193695
2,167,0.6306493878364563,
3,199,,0.6017531156539917
3,223,0.5951002240180969,
4,249,,0.6887588500976562
4,279,0.5800239443778992,
5,299,,0.8776578903198242
5,335,0.5768736004829407,
6,349,,0.6561492681503296
6,391,0.56883305311203,
7,399,,0.4100399911403656
7,447,0.5688348412513733,
8,449,,0.5261654853820801
8,499,,0.4733293652534485
8,503,0.5451224446296692,
9,549,,0.5076266527175903
9,559,0.5378047823905945,
