epoch,step,train_loss_epoch,train_loss_step
0,49,,0.4412325322628021
0,55,0.9974618554115295,
1,99,,0.38642966747283936
1,111,0.701450765132904,
2,149,,0.6311855316162109
2,167,0.5993934869766235,
3,199,,0.35906174778938293
3,223,0.590211033821106,
4,249,,0.32292813062667847
4,279,0.5844646692276001,
5,299,,0.3336605131626129
5,335,0.5760335922241211,
6,349,,0.4445320963859558
6,391,0.5757737755775452,
7,399,,0.4405052661895752
7,447,0.5633496642112732,
8,449,,0.4184785783290863
8,499,,0.8946709632873535
8,503,0.5492162704467773,
9,549,,0.40311115980148315
9,559,0.5567177534103394,
