epoch,step,train_loss_epoch,train_loss_step
0,49,,1.0459898710250854
0,55,1.0430830717086792,
1,99,,0.7578766942024231
1,111,0.719380259513855,
2,149,,0.43942421674728394
2,167,0.6194372773170471,
3,199,,0.3723536431789398
3,223,0.5879443883895874,
4,249,,0.9290851354598999
4,279,0.5919309258460999,
5,299,,0.5036193132400513
5,335,0.5950594544410706,
6,349,,0.3929464817047119
6,391,0.5719872117042542,
7,399,,0.8188751339912415
7,447,0.5796941518783569,
8,449,,0.48004040122032166
8,499,,0.7129630446434021
8,503,0.578011691570282,
9,549,,0.5441937446594238
9,559,0.555719792842865,
