epoch,step,train_loss_epoch,train_loss_step
0,49,,0.3737073540687561
0,55,0.9641091227531433,
1,99,,0.6215106248855591
1,111,0.7653905749320984,
2,149,,0.27744513750076294
2,167,0.6614251732826233,
3,199,,0.4732324182987213
3,223,0.6079018712043762,
4,249,,0.6074298024177551
4,279,0.5976313352584839,
5,299,,0.6114606857299805
5,335,0.573332667350769,
6,349,,0.3650003671646118
6,391,0.5758605003356934,
7,399,,0.441969096660614
7,447,0.5686746835708618,
8,449,,0.45834246277809143
8,499,,0.5283163189888
8,503,0.5700621604919434,
9,549,,0.36511141061782837
9,559,0.5501582026481628,
