epoch,step,train_loss_epoch,train_loss_step
0,49,,0.6284695267677307
0,55,0.9388962388038635,
1,99,,0.8799728155136108
1,111,0.6992868781089783,
2,149,,0.30417510867118835
2,167,0.6161994338035583,
3,199,,0.33479738235473633
3,223,0.5857940912246704,
4,249,,0.5204903483390808
4,279,0.5836532711982727,
5,299,,0.42325013875961304
5,335,0.5721884965896606,
6,349,,0.5066474676132202
6,391,0.5887972712516785,
7,399,,0.5471640825271606
7,447,0.5667033791542053,
8,449,,0.5044622421264648
8,499,,0.38537663221359253
8,503,0.5851404070854187,
9,549,,0.8763620257377625
9,559,0.559695303440094,
