epoch,step,train_loss_epoch,train_loss_step
0,49,,0.5496504902839661
0,55,1.079455018043518,
1,99,,0.5546404123306274
1,111,0.8385716080665588,
2,149,,0.866977334022522
2,167,0.6508421897888184,
3,199,,1.118562936782837
3,223,0.6278602480888367,
4,249,,1.0506207942962646
4,279,0.6064796447753906,
5,299,,0.8892604112625122
5,335,0.5849305391311646,
6,349,,0.4797137379646301
6,391,0.5690454244613647,
7,399,,0.42181357741355896
7,447,0.5733771920204163,
8,449,,0.7385113835334778
8,499,,0.6930657625198364
8,503,0.5672674775123596,
9,549,,1.172067642211914
9,559,0.5633852481842041,
