epoch,step,train_loss_epoch,train_loss_step
0,49,,0.5976999998092651
0,55,0.935631275177002,
1,99,,0.31194764375686646
1,111,0.6461442708969116,
2,149,,1.8127349615097046
2,167,0.6076570153236389,
3,199,,0.3371586203575134
3,223,0.6017058491706848,
4,249,,0.3547610342502594
4,279,0.589323103427887,
5,299,,0.9325876235961914
5,335,0.5895714163780212,
6,349,,0.4173153042793274
6,391,0.5796202421188354,
7,399,,0.47775763273239136
7,447,0.5784295201301575,
8,449,,0.5662828683853149
8,499,,0.6921231150627136
8,503,0.561468243598938,
9,549,,0.4438939094543457
9,559,0.5619695782661438,
