epoch,step,train_loss_epoch,train_loss_step
0,49,,1.1875383853912354
0,55,1.048383355140686,
1,99,,0.6583480834960938
1,111,0.7071660161018372,
2,149,,0.5362566113471985
2,167,0.6237983703613281,
3,199,,0.6965758204460144
3,223,0.5977612733840942,
4,249,,0.4849173128604889
4,279,0.5767223238945007,
5,299,,0.8965420722961426
5,335,0.5855829119682312,
6,349,,0.4796249270439148
6,391,0.5686517953872681,
7,399,,1.2466357946395874
7,447,0.5772157311439514,
8,449,,0.6383974552154541
8,499,,0.4785488545894623
8,503,0.5689467787742615,
9,549,,0.6429075002670288
9,559,0.5666854977607727,
