epoch,step,train_loss_epoch,train_loss_step
0,49,,0.7698882222175598
0,55,0.9387363791465759,
1,99,,0.4027596414089203
1,111,0.6311185956001282,
2,149,,1.459684133529663
2,167,0.5959964394569397,
3,199,,0.5680238008499146
3,223,0.5940982699394226,
4,249,,0.3642936944961548
4,279,0.5919375419616699,
5,299,,0.4529900550842285
5,335,0.5957345962524414,
6,349,,0.6060026288032532
6,391,0.5680501461029053,
7,399,,0.4693377614021301
7,447,0.5721908211708069,
8,449,,0.6923936605453491
8,499,,0.47611284255981445
8,503,0.5677352547645569,
9,549,,0.7383981943130493
9,559,0.5612210631370544,
