epoch,step,train_loss_epoch,train_loss_step
0,49,,0.8423343896865845
0,55,1.067440152168274,
1,99,,0.5667304992675781
1,111,0.7136341333389282,
2,149,,0.4386447072029114
2,167,0.6127570867538452,
3,199,,0.32366615533828735
3,223,0.5880654454231262,
4,249,,0.5330460071563721
4,279,0.5835403800010681,
5,299,,0.591463565826416
5,335,0.5814502835273743,
6,349,,0.48448461294174194
6,391,0.5604504942893982,
7,399,,0.5331554412841797
7,447,0.564659059047699,
8,449,,0.4675877094268799
8,499,,0.3478410840034485
8,503,0.5438434481620789,
9,549,,0.5555853247642517
9,559,0.5445916652679443,
