epoch,step,train_loss_epoch,train_loss_step
0,49,,0.5336917638778687
0,55,0.905098021030426,
1,99,,0.7610676884651184
1,111,0.6470833420753479,
2,149,,0.5129834413528442
2,167,0.6083680391311646,
3,199,,1.2706866264343262
3,223,0.5929654836654663,
4,249,,0.8054041862487793
4,279,0.578123152256012,
5,299,,0.44267550110816956
5,335,0.5706810355186462,
6,349,,0.395448237657547
6,391,0.5873492956161499,
7,399,,0.5077202916145325
7,447,0.5628365278244019,
8,449,,0.3541885316371918
8,499,,0.4617595076560974
8,503,0.5581532716751099,
9,549,,0.5696260929107666
9,559,0.546008288860321,
