epoch,step,train_loss_epoch,train_loss_step
0,49,,0.11506185680627823
0,55,0.13600920140743256,
1,99,,0.07298741489648819
1,111,0.08993666619062424,
2,149,,0.08190931379795074
2,167,0.08004295080900192,
3,199,,0.08447127044200897
3,223,0.0786828026175499,
4,249,,0.08907682448625565
4,279,0.07652036100625992,
5,299,,0.08601497858762741
5,335,0.07759008556604385,
6,349,,0.06520740687847137
6,391,0.07422195374965668,
7,399,,0.06287717074155807
7,447,0.07240716367959976,
8,449,,0.06677578389644623
8,499,,0.06463257968425751
8,503,0.07298363745212555,
9,549,,0.071563720703125
9,559,0.07256805896759033,
