epoch,step,train_loss_epoch,train_loss_step
0,49,,0.6877564191818237
0,55,0.9366078972816467,
1,99,,0.36877530813217163
1,111,0.6465043425559998,
2,149,,0.5254267454147339
2,167,0.6046661734580994,
3,199,,0.6932694315910339
3,223,0.6004359126091003,
4,249,,1.8499374389648438
4,279,0.5829313397407532,
5,299,,1.0299450159072876
5,335,0.5831193327903748,
6,349,,0.8109620809555054
6,391,0.5853234529495239,
7,399,,0.6572363972663879
7,447,0.5891327857971191,
8,449,,0.39521926641464233
8,499,,0.7202383279800415
8,503,0.564278781414032,
9,549,,0.5653647184371948
9,559,0.5604376196861267,
