epoch,step,train_loss_epoch,train_loss_step
0,49,,0.7095411419868469
0,55,0.9554996490478516,
1,99,,0.3310680091381073
1,111,0.6489095687866211,
2,149,,0.6921387910842896
2,167,0.6169395446777344,
3,199,,0.5137133598327637
3,223,0.5893704295158386,
4,249,,0.6294065713882446
4,279,0.5952712893486023,
5,299,,0.3776997923851013
5,335,0.575903058052063,
6,349,,0.519740104675293
6,391,0.5618147850036621,
7,399,,0.5712290406227112
7,447,0.5673343539237976,
8,449,,0.38241520524024963
8,499,,0.5341309309005737
8,503,0.5675392746925354,
9,549,,0.47549962997436523
9,559,0.537354588508606,
