epoch,step,train_loss_epoch,train_loss_step
0,49,,0.9660345315933228
0,55,1.0906641483306885,
1,99,,0.5976731181144714
1,111,0.8397508263587952,
2,149,,0.5445551872253418
2,167,0.6653488874435425,
3,199,,0.6850119829177856
3,223,0.6223273873329163,
4,249,,0.3738020658493042
4,279,0.6049894094467163,
5,299,,0.5500255823135376
5,335,0.6000853776931763,
6,349,,0.9236524701118469
6,391,0.593170166015625,
7,399,,0.6398436427116394
7,447,0.5925744771957397,
8,449,,1.1328556537628174
8,499,,0.5595940351486206
8,503,0.584720253944397,
9,549,,0.5231407880783081
9,559,0.5805873274803162,
