epoch,step,train_loss_epoch,train_loss_step
0,49,,1.1057682037353516
0,55,0.9485899806022644,
1,99,,0.5487282872200012
1,111,0.6739084124565125,
2,149,,0.6610539555549622
2,167,0.6191271543502808,
3,199,,0.5797959566116333
3,223,0.5909119844436646,
4,249,,0.719851016998291
4,279,0.612824022769928,
5,299,,0.5884779691696167
5,335,0.5975578427314758,
6,349,,0.8510734438896179
6,391,0.5739225745201111,
7,399,,0.38250496983528137
7,447,0.5708872079849243,
8,449,,0.6351718902587891
8,499,,0.4129287600517273
8,503,0.5536574721336365,
9,549,,0.4522338807582855
9,559,0.5519689321517944,
