epoch,step,train_loss_epoch,train_loss_step
0,49,,0.3836051821708679
0,55,0.9895372986793518,
1,99,,0.5535019636154175
1,111,0.6770917177200317,
2,149,,0.8161970376968384
2,167,0.6125159859657288,
3,199,,0.7397812008857727
3,223,0.594375491142273,
4,249,,0.5799357295036316
4,279,0.5822563767433167,
5,299,,0.40848883986473083
5,335,0.5997198224067688,
6,349,,0.5401448011398315
6,391,0.5820780396461487,
7,399,,0.5684448480606079
7,447,0.561310887336731,
8,449,,0.49170008301734924
8,499,,0.7457666397094727
8,503,0.5854700803756714,
9,549,,1.0117194652557373
9,559,0.5630038380622864,
