epoch,step,train_loss_epoch,train_loss_step
0,49,,0.5276109576225281
0,55,0.9221991300582886,
1,99,,0.8213682174682617
1,111,0.6712509989738464,
2,149,,0.32146602869033813
2,167,0.6079928278923035,
3,199,,0.7599178552627563
3,223,0.5894650816917419,
4,249,,0.33675819635391235
4,279,0.5822132229804993,
5,299,,1.1494815349578857
5,335,0.5741381645202637,
6,349,,0.5254958271980286
6,391,0.5775732398033142,
7,399,,0.41681116819381714
7,447,0.572658121585846,
8,449,,0.45636358857154846
8,499,,0.37450653314590454
8,503,0.5657747387886047,
9,549,,0.6069067716598511
9,559,0.5629919767379761,
