epoch,step,train_loss_epoch,train_loss_step
0,49,,0.9763396382331848
0,55,1.0728768110275269,
1,99,,0.5241111516952515
1,111,0.7862375378608704,
2,149,,0.6684114336967468
2,167,0.685745358467102,
3,199,,0.7464300990104675
3,223,0.6227206587791443,
4,249,,0.4343881607055664
4,279,0.6195708513259888,
5,299,,0.638378918170929
5,335,0.5935105681419373,
6,349,,0.4956726133823395
6,391,0.5817427635192871,
7,399,,0.8955228924751282
7,447,0.5886744856834412,
8,449,,0.9528493881225586
8,499,,0.5333842039108276
8,503,0.5820363759994507,
9,549,,0.35895705223083496
9,559,0.5636159181594849,
